学年学期,课程名称,课程代码,教学班代码,学分,绩点,成绩,成绩明细,是否为公选课
2024-2025学年第二学期,跨文化视野下中国人的情感世界,1500052X,1500052X--001,1,3.3,83,其他:83,是
2024-2025学年第二学期,最优化原理,1110372B,1110372B--001,2,3.3,83,期末考试:68; 课堂测试:92; 作业撰写:98; 期末报告:89,否
2024-2025学年第二学期,管理信息系统,1110350X,1110350X--001,2,3.7,86,期末考试:82; 课堂测试:92; 期末报告:75; 其他:96.4,否
2024-2025学年第二学期,大学体育（4）,5100171B,5100171B--020,0.5,3.7,86,期末考试:90; 课堂测试:49; 实验预习:100; 实际操作:100,否
2024-2025学年第二学期,机械设计基础 B,0200022B,0200022B--001,3,4.3,95,平时成绩:95; 期末考试:未考; 期中考试:100; 实验分析报告:94; 缓考成绩:93,否
2024-2025学年第二学期,科研之道,1110080X,1110080X--001,2,3.3,82,期末考试:70; 课堂测试:87; 作业撰写:84; 研究报告:97,否
2024-2025学年第二学期,企业会计学,1110360X,1110360X--001,2,4,90,期末考试:92; 课堂测试:84; 作业撰写:96; 提问及讨论:87,否
2024-2025学年第二学期,毛泽东思想与中国特色社会主义理论体系概论,1200231B,1200231B--010,3,4,90,期末考试:未考; 课堂测试:76; 作业撰写:94; 课堂演讲:98; 缓考成绩:91.5,否
2024-2025学年第二学期,离散数学,1110052B,1110052B--001,2,3.3,83,平时成绩:69; 期末考试:89; 课堂测试:81.3; 作业撰写:88.4,否
2024-2025学年第二学期,揭秘绿色园艺产品与营养健康,2200234X,2200234X--001,1,4.3,97,期末考试:100; 课堂测试:92; 期末报告:92,是
2024-2025学年第二学期,形势与政策（4）,1201141B,1201141B--004,0.25,3.3,84,平时成绩:75; 期末考试:86; 课堂测试:90,否
2024-2025学年第二学期,运筹学,1110352B,1110352B--001,3,3.7,88,期末考试:87; 课堂测试:92; 作业撰写:92; 设计报告:83,否
2024-2025学年第二学期,中国书法史,2100055E,2100055E--001,1,4.3,96,期末考试:94; 课堂测试:97.5; 提问及讨论:100,是
2024-2025学年第二学期,计算机网络,1110042B,1110042B--003,3,4,93,平时成绩:97; 期末考试:87; 课堂测试:93; 作业撰写:100,否
2024-2025学年第一学期,JAVA程序设计,1110342B,1110342B--001,2,3.7,88,期末考试:93; 课堂测试:80.7; 期中考试:85; 作业撰写:88.4,否
2024-2025学年第一学期,葡萄酒文化与鉴赏,2200184X,2200184X--001,1,3.7,87,期末考试:89; 作业撰写:84,是
2024-2025学年第一学期,通用学术英语,1500341B,1500341B--004,2,3.7,85,试验/上机成绩:73; 平时成绩:88; 期末考试:84; 作业撰写:88; 口试:89,否
2024-2025学年第一学期,数据结构与算法课程设计,1110053B,1110053B--001,3,4.3,98,试验/上机成绩:98.3; 实验操作:98.1; 实验报告:99.1,否
2024-2025学年第一学期,概率论与数理统计,1400091B,1400091B--003,3,3.7,89,期末考试:84; 课堂测试:87.5; 作业撰写:98; 其他:96.3,否
2024-2025学年第一学期,形势与政策（3）,1201131B,1201131B--013,0.25,4,90,平时成绩:89; 期末考试:94; 课堂测试:87,否
2024-2025学年第一学期,大学体育（3）,5100161B,5100161B--020,0.5,3,80,期末考试:90; 课堂测试:21; 实验预习:100; 实际操作:100,否
2024-2025学年第一学期,创新创业基础,9900011B,9900011B--003,1,2.7,76,平时成绩:90; 课堂测试:68.6; 期末报告:74.3; 课堂演讲:73.8,否
2024-2025学年第一学期,JAVA程序设计课程设计,1110123B,1110123B--001,3,3.9,90,设计报告:优; 答辩:优,否
2024-2025学年第一学期,企业管理学,1109822B,1109822B--001,2.5,4,90,期末考试:80; 课堂测试:99; 作业撰写:98; 期末报告:96; 课堂演讲:97,否
2024-2025学年第一学期,电工与电子技术B,0400062B,0400062B--002,3,4.3,97,期末考试:100; 课堂测试:90; 作业撰写:95; 实验分析报告:95,否
